PrepID,Dataset name
HIG-RunIIFall18wmLHEGS-04444,WminusH_WToQQ_HToInvisible_M110_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04445,WminusH_WToQQ_HToInvisible_M150_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04446,WminusH_WToQQ_HToInvisible_M200_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04447,WminusH_WToQQ_HToInvisible_M300_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04448,WminusH_WToQQ_HToInvisible_M400_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04449,WminusH_WToQQ_HToInvisible_M500_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04450,WminusH_WToQQ_HToInvisible_M600_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04451,WminusH_WToQQ_HToInvisible_M800_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall18wmLHEGS-04452,WminusH_WToQQ_HToInvisible_M1000_TuneCP5_13TeV_powheg_pythia8
