PrepID,Dataset name
HIG-RunIIFall17wmLHEGS-05387,WplusH_WToQQ_HToInvisible_M110_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05388,WplusH_WToQQ_HToInvisible_M150_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05389,WplusH_WToQQ_HToInvisible_M200_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05390,WplusH_WToQQ_HToInvisible_M300_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05391,WplusH_WToQQ_HToInvisible_M400_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05392,WplusH_WToQQ_HToInvisible_M500_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05393,WplusH_WToQQ_HToInvisible_M600_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05394,WplusH_WToQQ_HToInvisible_M800_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05395,WplusH_WToQQ_HToInvisible_M1000_TuneCP5_13TeV_powheg_pythia8
