PrepID,Dataset name
HIG-RunIIFall17wmLHEGS-05396,ZH_ZToQQ_HToInvisible_M110_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05397,ZH_ZToQQ_HToInvisible_M150_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05398,ZH_ZToQQ_HToInvisible_M200_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05399,ZH_ZToQQ_HToInvisible_M300_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05400,ZH_ZToQQ_HToInvisible_M400_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05401,ZH_ZToQQ_HToInvisible_M500_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05402,ZH_ZToQQ_HToInvisible_M600_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05403,ZH_ZToQQ_HToInvisible_M800_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05404,ZH_ZToQQ_HToInvisible_M1000_TuneCP5_13TeV_powheg_pythia8
